"Original_station_cast","Location_Station_Number","Location","Station_Number","Depth","Salinity","Temperature","Pressure","Density","Conductivity","Oxygen","Turbidity","Chlorophyll","Max_Depth","Station"
"64PE477_S00C01","PE477_1","PE477","1",3.283,34.3312,17.2678,3.312,1024.83567669016,44.39542,233.753,1.1947,0.413,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",3.786,34.3312,17.2689,3.82,1024.83763470635,44.396663,233.825,1.203,0.2838,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",4.31,34.331,17.272,4.348,1024.83905216461,44.399756,234.069,1.2557,0.2254,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",4.793,34.3309,17.2723,4.836,1024.84103768921,44.400116,234.23,1.1682,0.2135,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",5.284,34.3309,17.2733,5.331,1024.84296254525,44.401325,233.876,1.2398,0.2102,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",5.775,34.3313,17.2737,5.827,1024.84533724078,44.402369,233.72,1.3654,0.2047,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",6.166,34.3314,17.2737,6.221,1024.84713465054,44.402648,233.769,1.2007,0.2193,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",6.513,34.3313,17.2739,6.571,1024.84854084343,44.402911,233.483,1.1575,0.2104,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",6.923,34.3311,17.2749,6.985,1024.84996035077,44.403855,234.035,1.1929,0.2389,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",7.401,34.3319,17.2725,7.468,1024.85324815485,44.402585,233.855,1.2643,0.2325,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",7.905,34.3318,17.2725,7.976,1024.85539242708,44.40273,233.876,1.2461,0.2332,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",8.48,34.3323,17.2719,8.556,1024.85844807497,44.402979,233.888,1.3213,0.2097,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",9.076,34.3321,17.2721,9.157,1024.86087537832,44.403309,233.918,1.2731,0.2043,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",9.646,34.3319,17.2732,9.733,1024.86297880661,44.404285,234.187,1.2171,0.2115,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",10.235,34.3313,17.2741,10.327,1024.86490604004,44.404716,233.765,1.2801,0.2127,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",10.851,34.3317,17.2738,10.948,1024.86799355465,44.40515,234.2,1.2947,0.2047,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",11.401,34.3318,17.2737,11.504,1024.87052246668,44.405507,233.755,1.2373,0.2305,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",11.905,34.332,17.2735,12.012,1024.8729410839,44.405821,233.994,1.1581,0.2556,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",12.416,34.3321,17.2736,12.528,1024.87524746671,44.406166,233.964,1.2064,0.2235,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",13.011,34.3308,17.2754,13.128,1024.87645673034,44.406681,233.968,1.2529,0.212,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",13.678,34.3315,17.2744,13.801,1024.88016509062,44.406794,234.043,1.1547,0.2112,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",14.35,34.3321,17.2734,14.479,1024.8838196468,44.406876,234.073,1.2575,0.2081,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",14.925,34.3322,17.2735,15.059,1024.88640552479,44.407289,234.353,1.1637,0.2073,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",15.475,34.3323,17.2731,15.615,1024.88900578233,44.407234,233.87,1.1577,0.1992,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",16.001,34.331,17.2752,16.145,1024.88983740726,44.408024,234.108,1.1432,0.2047,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",16.499,34.3311,17.2752,16.648,1024.89211062025,44.408386,233.839,1.1888,0.1984,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",17.085,34.3316,17.2745,17.239,1024.89523773856,44.408492,234.039,1.2239,0.2057,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",17.739,34.3321,17.2736,17.898,1024.89870962987,44.408483,234.01,1.2754,0.2117,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",18.346,34.3315,17.2745,18.511,1024.90071929739,44.408957,234.018,1.2694,0.2175,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",18.934,34.3322,17.2732,19.104,1024.90414945495,44.408783,234.304,1.3073,0.2217,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",19.555,34.3324,17.2734,19.731,1024.90699214109,44.409437,233.89,1.2547,0.2288,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",20.166,34.3317,17.2744,20.347,1024.90891530995,44.409949,233.691,1.1529,0.2302,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",20.731,34.3312,17.2755,20.918,1024.9107691949,44.410659,233.948,1.196,0.2249,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",21.322,34.3323,17.2736,21.514,1024.91465799796,44.410379,234.249,1.1591,0.2115,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",21.956,34.3322,17.2743,22.153,1024.91720677493,44.411129,233.814,1.1442,0.2333,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",22.566,34.332,17.2745,22.77,1024.91970311969,44.411398,234.366,1.2072,0.2381,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",23.034,34.3317,17.275,23.242,1024.92141880274,44.411827,234.494,1.1635,0.3114,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",23.292,34.3321,17.274,23.502,1024.92309569181,44.411437,234.016,1.1429,0.3078,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",23.645,34.3324,17.2733,23.858,1024.92504471423,44.411193,233.894,1.1814,0.2454,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",24.054,34.3326,17.2731,24.271,1024.92704776278,44.411312,234.396,1.1567,0.2322,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",24.432,34.3324,17.2741,24.652,1024.92832213202,44.412207,234.21,1.1868,0.2217,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",24.746,34.3322,17.2751,24.969,1024.92931690642,44.413161,234.511,1.1935,0.3156,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",25.056,34.3323,17.2744,25.282,1024.93092684504,44.412792,233.769,1.1849,0.3812,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",25.387,34.3323,17.2741,25.615,1024.93245304138,44.412631,234.064,1.2663,0.3149,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",25.752,34.3322,17.2746,25.984,1024.93386988628,44.413158,234.342,1.224,0.2819,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",26.11,34.3323,17.2742,26.346,1024.93562221746,44.413047,233.956,1.2368,0.2422,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",26.423,34.3326,17.2735,26.661,1024.93739208105,44.412766,234.096,1.3108,0.2292,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",26.778,34.3326,17.2734,27.019,1024.93897969277,44.412873,234.443,1.3096,0.2313,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",27.124,34.3322,17.2743,27.368,1024.93998679985,44.413418,233.998,1.2918,0.2365,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",27.283,34.3316,17.2753,27.528,1024.9399932604,44.413798,234.14,1.33,0.2392,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",27.369,34.3312,17.276,27.615,1024.93990369976,44.414082,234.417,1.342,0.2433,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",27.535,34.3319,17.2753,27.784,1024.9413382577,44.414311,233.954,1.2802,0.2388,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",27.719,34.3313,17.2765,27.968,1024.94140176861,44.414914,233.844,1.2347,0.2457,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",27.893,34.3299,17.2786,28.145,1024.94061491954,44.415343,233.964,1.228,0.3516,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",28.088,34.3293,17.2794,28.341,1024.9408263234,44.415579,234.295,1.2228,0.2793,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",28.254,34.3295,17.2794,28.509,1024.94171131598,44.415787,233.566,1.2685,0.2467,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",28.358,34.3293,17.2796,28.614,1024.9419709541,44.415839,234.225,1.6784,0.2504,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",28.462,34.3296,17.2794,28.719,1024.94270414433,44.415961,233.893,1.4712,0.2304,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",28.556,34.3295,17.2796,28.814,1024.94299570781,44.416103,233.65,1.371,0.2343,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",28.67,34.3288,17.2804,28.929,1024.94277769768,44.416171,233.58,1.4129,0.2367,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",28.893,34.3281,17.2812,29.154,1024.94304012384,44.416311,233.789,1.4849,0.2628,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.154,34.3281,17.2813,29.417,1024.94416492951,44.416442,234.035,1.52,0.249,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.325,34.3278,17.2816,29.59,1024.94462206095,44.416545,233.885,1.6311,0.2405,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.354,34.3279,17.2815,29.619,1024.94484821054,44.41652,233.86,1.6743,0.2343,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.385,34.328,17.2815,29.65,1024.94505921037,44.416717,233.841,1.6067,0.2384,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.404,34.328,17.2815,29.669,1024.9451421948,44.416735,233.848,1.6085,0.2467,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.312,34.3281,17.2818,29.577,1024.94474432432,44.41702,233.548,1.6826,0.2373,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.273,34.3281,17.2816,29.537,1024.94461738999,44.416916,234.063,1.7365,0.241,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.36,34.3282,17.2812,29.625,1024.94517288291,44.416642,233.861,1.4446,0.2488,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.435,34.3286,17.2807,29.7,1024.94592229317,44.416582,233.814,1.687,0.2569,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.45,34.3289,17.2806,29.716,1024.94624287206,44.416821,233.808,1.6164,0.2458,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.434,34.3288,17.2805,29.699,1024.94611690286,44.416697,233.827,1.632,0.2431,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.426,34.329,17.2804,29.692,1024.94626142248,44.41669,233.769,1.6494,0.2426,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.422,34.3287,17.2805,29.688,1024.94599325486,44.41656,233.73,1.6609,0.2434,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.41,34.3287,17.2806,29.675,1024.9459125916,44.41656,234.059,1.7527,0.2496,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.424,34.3288,17.2806,29.69,1024.94605371002,44.416627,234.253,1.5123,0.2452,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.387,34.3287,17.2806,29.652,1024.94581213653,44.416546,233.491,1.3597,0.2498,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.351,34.3287,17.2804,29.616,1024.94570267072,44.416421,233.916,1.3166,0.5979,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.337,34.3287,17.2803,29.602,1024.94566540803,44.416338,233.6,1.3255,0.4215,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.339,34.329,17.28,29.604,1024.94597260815,44.416357,234.04,1.4001,0.3006,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.381,34.3291,17.2801,29.646,1024.94620776888,44.416553,233.853,1.4752,0.2591,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.42,34.3291,17.28,29.686,1024.94640635754,44.416433,233.862,1.4395,0.248,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.418,34.3296,17.2793,29.684,1024.94694283043,44.416339,233.845,1.3975,0.2391,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.442,34.3297,17.2792,29.708,1024.94714714141,44.41637,233.762,1.5171,0.2215,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.486,34.3291,17.2797,29.751,1024.94676190416,44.416212,233.826,1.5236,0.2174,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.476,34.3289,17.2801,29.742,1024.94647585119,44.416437,233.863,1.3653,0.2108,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.334,34.3295,17.2798,29.599,1024.94637655993,44.416704,233.873,1.3527,0.2225,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.261,34.3293,17.2797,29.525,1024.94592602965,44.416323,233.858,1.448,0.2479,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.295,34.3297,17.2792,29.56,1024.94650073193,44.416265,233.797,1.26,0.2898,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.391,34.3299,17.2788,29.656,1024.94716676671,44.416208,233.84,1.2757,0.2561,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.418,34.3297,17.2792,29.683,1024.94703795077,44.416409,233.587,1.2982,0.2545,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.422,34.3296,17.2794,29.688,1024.94693641747,44.416366,233.728,1.4587,0.2542,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.436,34.3296,17.2792,29.701,1024.94704096346,44.416226,233.717,1.4777,0.2338,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.385,34.3296,17.2793,29.65,1024.9467943311,44.41627,234.031,1.4716,0.2352,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.331,34.3298,17.2795,29.596,1024.94666192147,44.41675,233.861,1.6476,0.2402,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.373,34.3298,17.2792,29.638,1024.94691701209,44.416502,233.573,1.5725,0.2425,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.426,34.33,17.2788,29.692,1024.94739960619,44.41632,233.679,1.3547,0.2388,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.442,34.3301,17.2785,29.708,1024.94761674192,44.41615,233.7,1.354,0.2332,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.44,34.3295,17.2787,29.706,1024.9471066126,44.415703,233.7,1.4515,0.225,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.419,34.3297,17.2789,29.685,1024.94711833567,44.416155,234.021,1.4464,0.2337,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.422,34.3297,17.2789,29.688,1024.94713143857,44.416101,233.511,1.4046,0.2602,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.45,34.3298,17.2788,29.716,1024.94735321997,44.416116,233.984,1.4795,0.2403,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.488,34.3294,17.2791,29.754,1024.94714512175,44.41596,233.545,1.419,0.2237,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.482,34.3292,17.2794,29.748,1024.94689605671,44.416058,234.002,1.6427,0.2447,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.407,34.3297,17.2792,29.672,1024.94698990687,44.416344,233.774,1.4038,0.2547,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.375,34.3295,17.2792,29.64,1024.94669893347,44.416114,233.819,1.5566,0.2372,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.35,34.3296,17.2793,29.615,1024.94664146402,44.416263,233.863,1.5343,0.238,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.312,34.3295,17.279,29.577,1024.94647153849,44.41591,234.18,1.4618,0.2671,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.343,34.3297,17.2789,29.608,1024.94678202773,44.416049,233.962,1.4367,0.255,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.414,34.33,17.2785,29.679,1024.94741447574,44.416044,233.991,1.572,0.2211,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.418,34.33,17.2786,29.684,1024.94741243109,44.416178,233.629,1.471,0.2205,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.45,34.33,17.2785,29.716,1024.94757607825,44.416114,233.869,1.3946,0.2297,29.488,"1"
"64PE477_S00C01","PE477_1","PE477","1",29.464,34.3302,17.2785,29.73,1024.94778843456,44.416193,233.586,1.3489,0.2428,29.488,"1"
